mun;codigo;rDep;txAnalfI;rendaMdom;renda25sm;txDesemp16a;pib;agua;lixo;espVida;txConsult;txVisita;bpc
280010 Amparo de São Francisco;2800100;18.12227074;54.9;274.02;33.67;7.47;6825.32;21.03;0.93;68.66;1.81124498;8.773626374;0.02811245
280020 Aquidabã;2800209;19.66983079;58.9;269.57;41.79;9.62;6233.97;14.31;0.28;69.83;1.585396559;3.715895493;0.020981956
280030 Aracaju;2800308;13.25849817;18.2;1022.07;12.92;10.71;16913.3;0.72;1.25;74.36;1.178291287;2.235731832;0.088249465
280040 Arauá;2800407;14.90470518;66;242.23;40.01;6.95;7872.5;24.14;2.68;72;2.130869131;4.364221364;0.162837163
280050 Areia Branca;2800506;13.7092158;63.9;292.52;28.92;9.53;6750.97;17.75;3.84;71.38;1.469032707;6.210179747;0.055671538
280060 Barra dos Coqueiros;2800605;11.19315734;32.5;397.3;32.14;14.78;11990.97;2.12;1.63;71.54;2.633864761;4.3370836;0.036833425
280067 Boquim;2800670;16.82242991;54.5;294.25;37.17;9.3;7239.26;28.78;0.45;71.27;1.417417417;3.136176712;0.136261261
280070 Brejo Grande;2800704;14.79236813;63.8;194.86;51.15;11.62;6745.91;21.48;14.87;67.03;2.658573596;5.143632136;0.019726859
280100 Campo do Brito;2801009;19.18729293;61.3;389.86;25.88;3.75;6483.78;11.22;0.81;72.57;2.542407313;5.025076124;0.06043677
280110 Canhoba;2801108;17.63948498;63.9;247.57;44.99;3.39;6707.45;8.62;3.58;68.3;2.231143552;5.80182002;0.0243309
280120 Canindé de São Francisco;2801207;10.58356708;75;259.97;42.74;11.32;66096.23;15.63;3.54;69.48;2.317388494;3.262618488;0.090497738
280130 Capela;2801306;15.98082516;53.1;309.91;35.02;14.84;8062.9;12.55;11.82;70.97;1.955173576;3.173238841;0.124031008
280140 Carira;2801405;18.97804193;69.7;290.02;32.62;6.75;10214.29;23.85;0.95;72.45;3.681600696;3.750587294;0.033492823
280150 Carmópolis;2801504;9.240342844;47.9;377.89;27.78;22.39;40134.63;0.84;0.17;71.98;2.476493011;5.082722358;0.080050826
280160 Cedro de São João;2801603;21.24022023;43.8;346.7;29.23;8.2;5304.73;1.54;0.76;68.83;3.285129604;5.243742233;0.016371078
280170 Cristinápolis;2801702;12.70712616;66.4;228.22;41.53;7.69;7304.29;32.06;13.98;70.27;1.36;2.496277014;0.164
280190 Cumbe;2801900;20.04273504;66.5;282.36;31.73;3.91;6247.97;10.82;0;69.9;1.460554371;4.761605035;0.002132196
280200 Divina Pastora;2802007;13.88782907;65.6;275.96;22.3;12.81;40776.48;19.49;2.69;70.17;3.541208791;3.919787332;0.035714286
