Ano;Rondonia;Acre;Amazonas;Roraima;Para;Amapa;Tocantins;Maranhao;Piaui;Ceara;Rio_Grande_do_Norte;Paraiba;Pernambuco;Alagoas;Sergipe;Bahia;Minas_Gerais;Espirito_Santo;Rio_de_Janeiro;Sao_Paulo;Parana;Santa_Catarina;Rio_Grande_do_Sul;Mato_Grosso_do_Sul;Mato_Grosso;Goias;Distrito_Federal;Brazil
1995;0,5885;0,5832;0,578;0,4271;0,5654;0,5361;0,631;0,5826;0,5886;0,617;0,5976;0,6144;0,5751;0,6409;0,5861;0,6066;0,587;0,5986;0,5712;0,5346;0,5776;0,5352;0,5631;0,5496;0,5539;0,5522;0,5789;0,5994
1996;0,5375;0,6374;0,5477;0,4512;0,5802;0,5233;0,6372;0,6019;0,592;0,6293;0,6068;0,6005;0,605;0,6307;0,6056;0,6359;0,5692;0,5761;0,5765;0,5292;0,5749;0,5221;0,5605;0,5813;0,5712;0,581;0,5905;0,6009
1997;0,5529;0,5773;0,5915;0,4439;0,574;0,5713;0,6252;0,6209;0,6233;0,623;0,5984;0,6339;0,5929;0,6191;0,6186;0,6134;0,5827;0,5706;0,5712;0,5334;0,568;0,5277;0,5521;0,5722;0,6073;0,5467;0,5887;0,6007
1998;0,5465;0,5719;0,5803;0,507;0,5674;0,5778;0,6147;0,6076;0,5953;0,6182;0,5989;0,6408;0,5994;0,6165;0,6167;0,5964;0,5676;0,5786;0,5729;0,538;0,5648;0,5213;0,5601;0,5374;0,5756;0,5739;0,6186;0,599
1999;0,559;0,6249;0,5471;0,5115;0,5572;0,5448;0,5593;0,576;0,6003;0,6132;0,5957;0,6553;0,6042;0,5854;0,6239;0,5865;0,5628;0,5757;0,5541;0,538;0,5765;0,5187;0,5625;0,5539;0,5425;0,5551;0,6239;0,5927
2000;0,611;0,6477;0,6823;0,6202;0,6512;0,6318;0,655;0,657;0,6587;0,6742;0,6555;0,644;0,6706;0,6868;0,6561;0,6654;0,6159;0,6081;0,6146;0,5925;0,6065;0,5616;0,5863;0,6258;0,6278;0,6131;0,6406;0,646
2001;0,5479;0,6267;0,5758;0,5427;0,5529;0,483;0,5992;0,572;0,5975;0,6101;0,5819;0,5937;0,6174;0,6053;0,57;0,5937;0,5576;0,5895;0,5688;0,5489;0,5631;0,4959;0,5526;0,5637;0,5695;0,5633;0,6203;0,5939
2002;0,5418;0,6231;0,5634;0,56;0,5608;0,5514;0,5624;0,5675;0,6213;0,5888;0,5818;0,5995;0,6087;0,6031;0,5569;0,5916;0,5587;0,5772;0,5479;0,5513;0,5366;0,4685;0,5461;0,5582;0,5715;0,5506;0,6266;0,5877
2003;0,5059;0,5791;0,5583;0,525;0,5194;0,5996;0,5651;0,577;0,6021;0,5676;0,5625;0,5675;0,589;0,6068;0,5779;0,5905;0,5483;0,5538;0,559;0,542;0,544;0,4794;0,5375;0,5389;0,5459;0,5277;0,6299;0,5813
2004;0,5185;0,5944;0,5371;0,5844;0,5375;0,5425;0,5523;0,6094;0,5895;0,5744;0,57;0,591;0,6066;0,5734;0,5593;0,5553;0,54;0,5473;0,5479;0,5237;0,5434;0,4584;0,5259;0,5292;0,5265;0,5328;0,6256;0,5705
2005;0,5683;0,5856;0,5131;0,5425;0,5162;0,5269;0,5364;0,5202;0,59;0,5778;0,5959;0,5785;0,5858;0,5654;0,5531;0,5533;0,525;0,5543;0,5547;0,5281;0,5349;0,4591;0,518;0,528;0,5198;0,5519;0,6033;0,5676
2006;0,5437;0,5928;0,5116;0,5656;0,5064;0,4786;0,5211;0,5969;0,5994;0,5463;0,5575;0,5632;0,5804;0,6243;0,5582;0,5565;0,5248;0,5322;0,5525;0,5198;0,5156;0,4622;0,5129;0,5275;0,5282;0,5058;0,6035;0,5608
2007;0,5058;0,6088;0,5519;0,516;0,5208;0,5096;0,5455;0,5554;0,5936;0,5473;0,5599;0,5954;0,5586;0,6077;0,5399;0,5523;0,5145;0,5217;0,5465;0,5014;0,5225;0,4611;0,5033;0,5622;0,5131;0,5209;0,6107;0,5539
2008;0,4989;0,5605;0,5149;0,5431;0,4975;0,4546;0,5429;0,5208;0,5729;0,5374;0,5501;0,5833;0,5641;0,5797;0,5361;0,5581;0,5117;0,5165;0,5384;0,4932;0,4962;0,4632;0,5019;0,5236;0,542;0,5077;0,6179;0,5441
2009;0,5067;0,611;0,5085;0,5243;0,5093;0,5188;0,5218;0,5371;0,5541;0,5427;0,5573;0,588;0,552;0,5694;0,5737;0,5554;0,5091;0,5279;0,5406;0,484;0,4933;0,4576;0,4969;0,5163;0,5014;0,5043;0,619;0,5401
2010;0,5686;0,6394;0,6664;0,6398;0,626;0,6157;0,6099;0,6291;0,6193;0,6193;0,6074;0,6139;0,6366;0,6343;0,6288;0,6278;0,5634;0,5723;0,6116;0,5768;0,5416;0,4942;0,5472;0,565;0,5652;0,5588;0,637;0,6086
2011;0,4962;0,5455;0,5414;0,525;0,5399;0,5231;0,5203;0,541;0,5078;0,5371;0,5593;0,5367;0,5259;0,5226;0,556;0,5537;0,4959;0,4943;0,5318;0,4801;0,4668;0,4414;0,4842;0,5062;0,4763;0,478;0,6035;0,5294
2012;0,4824;0,5495;0,5108;0,5386;0,5019;0,5388;0,5249;0,6165;0,544;0,5241;0,5294;0,5277;0,507;0,4982;0,5397;0,5481;0,4959;0,4928;0,5294;0,4881;0,4787;0,4211;0,4747;0,4843;0,5194;0,4759;0,5822;0,5277
